시,지역명,법정동,단지명,금액_만원,전용면적,층,건축년도,거래년,거래월,거래일,거래일자,거래년월,거래유형,매수자,매도자,지역코드,지번
수원시,수원시 장안구,정자동,화서역푸르지오브리시엘,120000,84.8641,12,2023,2025,6,22,2025-06-22,2025-06,중개거래,개인,개인,41111,961
수원시,수원시 장안구,정자동,화서역현대벽산,40500,59.88,10,1999,2025,6,19,2025-06-19,2025-06,중개거래,개인,개인,41111,886-1
수원시,수원시 장안구,조원동,주공뉴타운1,44500,84.34,2,2001,2025,6,26,2025-06-26,2025-06,중개거래,개인,개인,41111,855
수원시,수원시 장안구,조원동,주공뉴타운1,47000,84.34,17,2001,2025,6,13,2025-06-13,2025-06,중개거래,개인,개인,41111,855
수원시,수원시 장안구,율전동,성균관대역동문디이스트,50000,59.9823,11,2017,2025,6,23,2025-06-23,2025-06,직거래,개인,개인,41111,600
수원시,수원시 장안구,조원동,한일타운우성,71500,121.48,13,1999,2025,6,29,2025-06-29,2025-06,중개거래,개인,개인,41111,881
수원시,수원시 장안구,정자동,백설마을효성,42400,76.36,19,2000,2025,6,16,2025-06-16,2025-06,중개거래,개인,개인,41111,880-2
수원시,수원시 장안구,이목동,수원장안힐스테이트,68000,84.993,12,2012,2025,6,27,2025-06-27,2025-06,중개거래,개인,개인,41111,916
수원시,수원시 장안구,조원동,한일타운대림,44500,59.842,19,1999,2025,6,27,2025-06-27,2025-06,중개거래,개인,개인,41111,881
수원시,수원시 장안구,정자동,수원 SK SKY VIEW,66000,59.961,20,2013,2025,6,26,2025-06-26,2025-06,중개거래,개인,개인,41111,945
수원시,수원시 장안구,천천동,화서역푸르지오더에듀포레,82000,148.75,19,2009,2025,6,7,2025-06-07,2025-06,중개거래,개인,개인,41111,333
수원시,수원시 장안구,조원동,한일타운쌍용,60000,84.772,11,1999,2025,6,19,2025-06-19,2025-06,직거래,개인,개인,41111,881
수원시,수원시 장안구,정자동,수원 SK SKY VIEW,64500,59.929,10,2013,2025,6,29,2025-06-29,2025-06,중개거래,개인,개인,41111,945
수원시,수원시 장안구,율전동,삼성1(율전동),53000,84.99,6,1998,2025,6,30,2025-06-30,2025-06,중개거래,개인,개인,41111,468
수원시,수원시 장안구,정자동,화서역파크푸르지오,118000,84.7,10,2021,2025,6,26,2025-06-26,2025-06,중개거래,개인,개인,41111,950
수원시,수원시 장안구,율전동,성균관대역동문디이스트,56000,59.9823,22,2017,2025,6,21,2025-06-21,2025-06,중개거래,개인,개인,41111,600
수원시,수원시 장안구,정자동,북수원자이렉스비아,95000,84.35,23,2024,2025,6,23,2025-06-23,2025-06,중개거래,개인,개인,41111,964
수원시,수원시 장안구,정자동,화서역파크푸르지오,105000,74.96,8,2021,2025,6,5,2025-06-05,2025-06,중개거래,개인,개인,41111,950
수원시,수원시 장안구,정자동,화서역파크뷰,43000,59.94,5,2000,2025,6,25,2025-06-25,2025-06,중개거래,개인,개인,41111,882-5
수원시,수원시 장안구,정자동,꽃뫼마을신안,56400,84.94,6,1999,2025,6,24,2025-06-24,2025-06,중개거래,개인,개인,41111,883-6
수원시,수원시 장안구,정자동,노을마을대동,39500,59.97,9,2000,2025,6,27,2025-06-27,2025-06,중개거래,개인,개인,41111,888-2
수원시,수원시 장안구,이목동,장안STX칸1단지,68000,103.852,10,2013,2025,6,23,2025-06-23,2025-06,중개거래,개인,개인,41111,918
수원시,수원시 장안구,천천동,천천삼성래미안,49000,84.99,8,2002,2025,6,22,2025-06-22,2025-06,중개거래,개인,개인,41111,544
수원시,수원시 장안구,천천동,비단마을성우우방,69200,127.973,5,2002,2025,6,25,2025-06-25,2025-06,중개거래,개인,개인,41111,531
수원시,수원시 장안구,정자동,화서역현대벽산,39000,59.95,4,1999,2025,6,26,2025-06-26,2025-06,중개거래,개인,개인,41111,886-1
수원시,수원시 장안구,천천동,비단마을베스트타운,64000,84.9981,3,2001,2025,6,21,2025-06-21,2025-06,중개거래,개인,개인,41111,511
수원시,수원시 장안구,정자동,화서역파크푸르지오,88000,59.98,7,2021,2025,6,7,2025-06-07,2025-06,중개거래,개인,개인,41111,950
수원시,수원시 장안구,연무동,서광교파크스위첸,55000,52.6886,6,2023,2025,6,27,2025-06-27,2025-06,중개거래,개인,개인,41111,300
수원시,수원시 장안구,정자동,화서역 우방 센트럴파크,49200,59.98,12,1999,2025,6,3,2025-06-03,2025-06,중개거래,개인,개인,41111,887-1
수원시,수원시 장안구,천천동,화서역푸르지오더에듀포레,59800,59.98,11,2009,2025,6,27,2025-06-27,2025-06,중개거래,개인,개인,41111,333
